date,time,Strain,hour,total_mean,real_count_mean,freq_mean,total_std,real_count_std,freq_std
11/18/2015,0.0,Green,10:30,20345.0,88470.0,0.43288344359641945,10137.223313116861,44439.083586410736,0.00435406524730319
11/18/2015,0.0,Red,10:30,20345.0,114980.0,0.5671165564035806,10137.223313116861,56936.925189195106,0.004354065247303189
11/18/2015,0.9166666666666666,Green,11:25,43487.75,335670.0,0.3860352401135988,5842.295455341163,45224.6050286788,0.008218076547645885
11/18/2015,0.9166666666666666,Red,11:25,43487.75,534085.0,0.6139647598864012,5842.295455341163,72360.00190022109,0.008218076547645848
11/18/2015,1.6666666666666667,Green,12:10,20986.0,616475.0,0.33722524438060186,17531.461020120372,58500.22970040374,0.0033064113250322745
11/18/2015,1.6666666666666667,Red,12:10,20986.0,1212787.5,0.6627747556193981,17531.461020120372,125482.65007063726,0.0033064113250322745
11/18/2015,2.75,Green,13:15,49587.375,1969300.0,0.22279179307382144,46878.94542845834,789447.6122580903,0.019803033705783252
11/18/2015,2.75,Red,13:15,49587.375,6852800.0,0.7772082069261785,46878.94542845834,2618907.1628257465,0.019803033705783235
11/18/2015,3.6666666666666665,Green,14:10,133467.25,4720650.0,0.17856323648004913,27554.40835306576,758789.1060762536,0.00932058638785782
11/18/2015,3.6666666666666665,Red,14:10,133467.25,21972800.0,0.8214367635199508,27554.40835306576,4758499.820321526,0.009320586387857792
11/18/2015,4.833333333333333,Green,15:20,117686.5,7486000.0,0.15908126255361096,20641.40930871727,1343415.6765498905,0.011096254906803566
11/18/2015,4.833333333333333,Red,15:20,117686.5,39588600.0,0.8409187374463891,20641.40930871727,7033754.897634691,0.011096254906803538
11/18/2015,5.916666666666667,Green,16:25,122176.75,11952000.0,0.09931414354998681,31119.867547717808,2843366.2268515467,0.011415635943063605
11/18/2015,5.916666666666667,Red,16:25,122176.75,110224750.0,0.9006858564500132,31119.867547717808,28721421.573235195,0.011415635943063615
